Month,Day,Hour,NoP
1,1,7,656
1,1,8,1073
1,1,9,1291
1,1,10,926
1,1,11,836
1,1,12,507
1,1,13,285
1,1,14,303
1,1,15,181
1,1,16,280
1,1,17,502
1,1,18,853
1,1,19,981
1,1,20,880
1,1,21,650
1,1,22,340
1,1,23,209
1,2,7,592
1,2,8,1001
1,2,9,1402
1,2,10,953
1,2,11,785
1,2,12,442
1,2,13,247
1,2,14,340
1,2,15,163
1,2,16,309
1,2,17,473
1,2,18,953
1,2,19,1013
1,2,20,810
1,2,21,573
1,2,22,243
1,2,23,53
1,3,7,651
1,3,8,1247
1,3,9,1551
1,3,10,853
1,3,11,809
1,3,12,477
1,3,13,190
1,3,14,312
1,3,15,211
1,3,16,273
1,3,17,506
1,3,18,1123
1,3,19,933
1,3,20,855
1,3,21,593
1,3,22,222
1,3,23,85
1,4,7,656
1,4,8,1073
1,4,9,1251
1,4,10,926
1,4,11,836
1,4,12,491
1,4,13,285
1,4,14,278
1,4,15,250
1,4,16,273
1,4,17,502
1,4,18,890
1,4,19,962
1,4,20,880
1,4,21,588
1,4,22,340
1,4,23,209
1,5,7,592
1,5,8,1220
1,5,9,1462
1,5,10,936
1,5,11,763
1,5,12,454
1,5,13,240
1,5,14,442
1,5,15,140
1,5,16,351
1,5,17,503
1,5,18,1163
1,5,19,955
1,5,20,810
1,5,21,573
1,5,22,243
1,5,23,81
1,6,7,651
1,6,8,1262
1,6,9,1392
1,6,10,825
1,6,11,751
1,6,12,515
1,6,13,173
1,6,14,341
1,6,15,213
1,6,16,273
1,6,17,506
1,6,18,1153
1,6,19,933
1,6,20,855
1,6,21,578
1,6,22,242
1,6,23,111
1,7,7,656
1,7,8,1073
1,7,9,1251
1,7,10,926
1,7,11,836
1,7,12,491
1,7,13,285
1,7,14,278
1,7,15,250
1,7,16,273
1,7,17,502
1,7,18,890
1,7,19,962
1,7,20,880
1,7,21,588
1,7,22,340
1,7,23,209
1,8,7,663
1,8,8,1078
1,8,9,1283
1,8,10,921
1,8,11,833
1,8,12,511
1,8,13,290
1,8,14,298
1,8,15,177
1,8,16,280
1,8,17,503
1,8,18,873
1,8,19,987
1,8,20,888
1,8,21,631
1,8,22,320
1,8,23,193
1,9,7,598
1,9,8,976
1,9,9,1598
1,9,10,943
1,9,11,768
1,9,12,398
1,9,13,273
1,9,14,303
1,9,15,140
1,9,16,277
1,9,17,465
1,9,18,943
1,9,19,940
1,9,20,753
1,9,21,533
1,9,22,265
1,9,23,33
1,10,7,668
1,10,8,1103
1,10,9,1709
1,10,10,803
1,10,11,887
1,10,12,465
1,10,13,203
1,10,14,277
1,10,15,203
1,10,16,265
1,10,17,503
1,10,18,1151
1,10,19,909
1,10,20,898
1,10,21,531
1,10,22,203
1,10,23,98
1,11,7,687
1,11,8,1058
1,11,9,1308
1,11,10,914
1,11,11,833
1,11,12,491
1,11,13,278
1,11,14,320
1,11,15,209
1,11,16,298
1,11,17,487
1,11,18,857
1,11,19,1065
1,11,20,896
1,11,21,576
1,11,22,276
1,11,23,196
1,12,7,606
1,12,8,1120
1,12,9,1398
1,12,10,907
1,12,11,756
1,12,12,474
1,12,13,250
1,12,14,442
1,12,15,118
1,12,16,298
1,12,17,520
1,12,18,1097
1,12,19,959
1,12,20,799
1,12,21,586
1,12,22,234
1,12,23,87
1,13,7,618
