Month,Day,Hour,NoP
1,1,7,703
1,1,8,1120
1,1,9,1338
1,1,10,973
1,1,11,883
1,1,12,554
1,1,13,332
1,1,14,350
1,1,15,228
1,1,16,327
1,1,17,549
1,1,18,900
1,1,19,1028
1,1,20,927
1,1,21,697
1,1,22,387
1,1,23,256
1,2,7,639
1,2,8,1048
1,2,9,1449
1,2,10,1000
1,2,11,832
1,2,12,489
1,2,13,294
1,2,14,387
1,2,15,210
1,2,16,356
1,2,17,520
1,2,18,1000
1,2,19,1060
1,2,20,857
1,2,21,620
1,2,22,290
1,2,23,100
1,3,7,698
1,3,8,1294
1,3,9,1598
1,3,10,900
1,3,11,856
1,3,12,524
1,3,13,237
1,3,14,359
1,3,15,258
1,3,16,320
1,3,17,553
1,3,18,1170
1,3,19,980
1,3,20,902
1,3,21,640
1,3,22,269
1,3,23,132
1,4,7,703
1,4,8,1120
1,4,9,1298
1,4,10,973
1,4,11,883
1,4,12,538
1,4,13,332
1,4,14,325
1,4,15,297
1,4,16,320
1,4,17,549
1,4,18,937
1,4,19,1009
1,4,20,927
1,4,21,635
1,4,22,387
1,4,23,256
1,5,7,639
1,5,8,1267
1,5,9,1509
1,5,10,983
1,5,11,810
1,5,12,501
1,5,13,287
1,5,14,489
1,5,15,187
1,5,16,398
1,5,17,550
1,5,18,1210
1,5,19,1002
1,5,20,857
1,5,21,620
1,5,22,290
1,5,23,128
1,6,7,698
1,6,8,1309
1,6,9,1439
1,6,10,872
1,6,11,798
1,6,12,562
1,6,13,220
1,6,14,388
1,6,15,260
1,6,16,320
1,6,17,553
1,6,18,1200
1,6,19,980
1,6,20,902
1,6,21,625
1,6,22,289
1,6,23,158
1,7,7,703
1,7,8,1120
1,7,9,1298
1,7,10,973
1,7,11,883
1,7,12,538
1,7,13,332
1,7,14,325
1,7,15,297
1,7,16,320
1,7,17,549
1,7,18,937
1,7,19,1009
1,7,20,927
1,7,21,635
1,7,22,387
1,7,23,256
1,8,7,710
1,8,8,1125
1,8,9,1330
1,8,10,968
1,8,11,880
1,8,12,558
1,8,13,337
1,8,14,345
1,8,15,224
1,8,16,327
1,8,17,550
1,8,18,920
1,8,19,1034
1,8,20,935
1,8,21,678
1,8,22,367
1,8,23,240
1,9,7,645
1,9,8,1023
1,9,9,1645
1,9,10,990
1,9,11,815
1,9,12,445
1,9,13,320
1,9,14,350
1,9,15,187
1,9,16,324
1,9,17,512
1,9,18,990
1,9,19,987
1,9,20,800
1,9,21,580
1,9,22,312
1,9,23,80
1,10,7,715
1,10,8,1150
1,10,9,1756
1,10,10,850
1,10,11,934
1,10,12,512
1,10,13,250
1,10,14,324
1,10,15,250
1,10,16,312
1,10,17,550
1,10,18,1198
1,10,19,956
1,10,20,945
1,10,21,578
1,10,22,250
1,10,23,145
1,11,7,734
1,11,8,1105
1,11,9,1355
1,11,10,961
1,11,11,880
1,11,12,538
1,11,13,325
1,11,14,367
1,11,15,256
1,11,16,345
1,11,17,534
1,11,18,904
1,11,19,1112
1,11,20,943
1,11,21,623
1,11,22,323
1,11,23,243
1,12,7,653
1,12,8,1167
1,12,9,1445
1,12,10,954
1,12,11,803
1,12,12,521
1,12,13,297
1,12,14,489
1,12,15,165
1,12,16,345
1,12,17,567
1,12,18,1144
1,12,19,1006
1,12,20,846
1,12,21,633
1,12,22,281
1,12,23,134
1,13,7,665
1,13,8,1423
1,13,9,1432
1,13,10,867
1,13,11,798
1,13,12,545
1,13,13,213
1,13,14,367
1,13,15,245
1,13,16,345
1,13,17,554
1,13,18,1212
1,13,19,967
1,13,20,889
1,13,21,612
1,13,22,243
1,13,23,143
1,14,7,689
1,14,8,1112
1,14,9,1243
1,14,10,965
1,14,11,832
1,14,12,546
1,14,13,312
1,14,14,300
1,14,15,294
1,14,16,312
1,14,17,554
1,14,18,904
1,14,19,1024
1,14,20,943
1,14,21,647
1,14,22,371
1,14,23,234
1,15,7,806
1,15,8,1223
1,15,9,1441
1,15,10,1076
1,15,11,986
1,15,12,657
1,15,13,435
1,15,14,453
1,15,15,331
1,15,16,430
1,15,17,652
1,15,18,1003
1,15,19,1131
1,15,20,1030
1,15,21,800
1,15,22,490
1,15,23,359
1,16,7,742
1,16,8,1151
1,16,9,1552
1,16,10,1103
1,16,11,935
1,16,12,592
1,16,13,397
1,16,14,490
1,16,15,313
1,16,16,459
1,16,17,623
1,16,18,1103
1,16,19,1163
1,16,20,960
1,16,21,723
1,16,22,393
1,16,23,203
1,17,7,801
1,17,8,1397
1,17,9,1701
1,17,10,1003
1,17,11,959
1,17,12,627
1,17,13,340
1,17,14,462
1,17,15,361
1,17,16,423
1,17,17,656
1,17,18,1273
1,17,19,1083
1,17,20,1005
1,17,21,743
1,17,22,372
1,17,23,235
1,18,7,806
1,18,8,1223
1,18,9,1401
1,18,10,1076
1,18,11,986
1,18,12,641
1,18,13,435
1,18,14,428
1,18,15,400
1,18,16,423
1,18,17,652
1,18,18,1040
1,18,19,1112
1,18,20,1030
1,18,21,738
1,18,22,490
1,18,23,359
1,19,7,742
1,19,8,1370
1,19,9,1612
1,19,10,1086
1,19,11,913
1,19,12,604
1,19,13,390
1,19,14,592
1,19,15,290
1,19,16,501
1,19,17,653
1,19,18,1313
1,19,19,1105
1,19,20,960
1,19,21,723
1,19,22,393
1,19,23,231
1,20,7,801
1,20,8,1412
1,20,9,1542
1,20,10,975
1,20,11,901
1,20,12,665
1,20,13,323
1,20,14,491
1,20,15,363
1,20,16,423
1,20,17,656
1,20,18,1303
1,20,19,1083
1,20,20,1005
1,20,21,728
1,20,22,392
1,20,23,261
1,21,7,806
1,21,8,1223
1,21,9,1401
1,21,10,1076
1,21,11,986
1,21,12,641
1,21,13,435
1,21,14,428
1,21,15,400
1,21,16,423
1,21,17,652
1,21,18,1040
1,21,19,1112
1,21,20,1030
1,21,21,738
1,21,22,490
1,21,23,359
1,22,7,813
1,22,8,1228
1,22,9,1433
1,22,10,1071
1,22,11,983
1,22,12,661
1,22,13,440
1,22,14,448
1,22,15,327
1,22,16,430
1,22,17,653
1,22,18,1023
1,22,19,1137
1,22,20,1038
1,22,21,781
1,22,22,470
1,22,23,343
1,23,7,748
1,23,8,1126
1,23,9,1748
1,23,10,1093
1,23,11,918
1,23,12,548
1,23,13,423
1,23,14,453
1,23,15,290
1,23,16,427
1,23,17,615
1,23,18,1093
1,23,19,1090
1,23,20,903
1,23,21,683
1,23,22,415
1,23,23,183
1,24,7,818
1,24,8,1253
1,24,9,1859
1,24,10,953
1,24,11,1037
1,24,12,615
1,24,13,353
1,24,14,427
1,24,15,353
1,24,16,415
1,24,17,653
1,24,18,1301
1,24,19,1059
1,24,20,1048
1,24,21,681
1,24,22,353
1,24,23,248
1,25,7,837
1,25,8,1208
1,25,9,1458
1,25,10,1064
1,25,11,983
1,25,12,641
1,25,13,428
1,25,14,470
1,25,15,359
1,25,16,448
1,25,17,637
1,25,18,1007
1,25,19,1215
1,25,20,1046
1,25,21,726
1,25,22,426
1,25,23,346
1,26,7,756
1,26,8,1270
1,26,9,1548
1,26,10,1057
1,26,11,906
1,26,12,624
1,26,13,400
1,26,14,592
1,26,15,268
1,26,16,448
1,26,17,670
1,26,18,1247
1,26,19,1109
1,26,20,949
1,26,21,736
1,26,22,384
1,26,23,237
1,27,7,768
1,27,8,1526
1,27,9,1535
1,27,10,970
1,27,11,901
1,27,12,648
1,27,13,316
1,27,14,470
1,27,15,348
1,27,16,448
1,27,17,657
1,27,18,1315
1,27,19,1070
1,27,20,992
1,27,21,715
1,27,22,346
1,27,23,246
1,28,7,792
1,28,8,1215
1,28,9,1346
1,28,10,1068
1,28,11,935
1,28,12,649
1,28,13,415
1,28,14,403
1,28,15,397
1,28,16,415
1,28,17,657
1,28,18,1007
1,28,19,1127
1,28,20,1046
1,28,21,750
1,28,22,474
1,28,23,337
2,1,7,720
2,1,8,1236
2,1,9,1456
2,1,10,945
2,1,11,852
2,1,12,521
2,1,13,365
2,1,14,312
2,1,15,267
2,1,16,365
2,1,17,523
2,1,18,924
2,1,19,1043
2,1,20,942
2,1,21,663
2,1,22,352
2,1,23,234
2,2,7,676
2,2,8,1078
2,2,9,1254
2,2,10,990
2,2,11,856
2,2,12,521
2,2,13,276
2,2,14,356
2,2,15,237
2,2,16,312
2,2,17,534
2,2,18,978
2,2,19,1109
2,2,20,863
2,2,21,643
2,2,22,276
2,2,23,123
2,3,7,676
2,3,8,1265
2,3,9,1565
2,3,10,845
2,3,11,886
2,3,12,564
2,3,13,254
2,3,14,327
2,3,15,274
2,3,16,302
2,3,17,572
2,3,18,1127
2,3,19,968
2,3,20,878
2,3,21,663
2,3,22,275
2,3,23,124
2,4,7,682
2,4,8,1112
2,4,9,1283
2,4,10,956
2,4,11,854
2,4,12,552
2,4,13,354
2,4,14,364
2,4,15,283
2,4,16,345
2,4,17,524
2,4,18,950
2,4,19,1042
2,4,20,942
2,4,21,652
2,4,22,364
2,4,23,276
2,5,7,653
2,5,8,1253
2,5,9,1573
2,5,10,962
2,5,11,837
2,5,12,483
2,5,13,295
2,5,14,489
2,5,15,155
2,5,16,406
2,5,17,562
2,5,18,1252
2,5,19,985
2,5,20,846
2,5,21,649
2,5,22,273
2,5,23,154
2,6,7,659
2,6,8,1349
2,6,9,1463
2,6,10,852
2,6,11,769
2,6,12,531
2,6,13,214
2,6,14,396
2,6,15,215
2,6,16,349
2,6,17,563
2,6,18,1265
2,6,19,978
2,6,20,884
2,6,21,635
2,6,22,265
2,6,23,185
2,7,7,709
2,7,8,1135
2,7,9,1267
2,7,10,973
2,7,11,885
2,7,12,564
2,7,13,339
2,7,14,306
2,7,15,245
2,7,16,348
2,7,17,567
2,7,18,941
2,7,19,1064
2,7,20,934
2,7,21,612
2,7,22,394
2,7,23,241
2,8,7,748
2,8,8,1187
2,8,9,1340
2,8,10,947
2,8,11,845
2,8,12,567
2,8,13,312
2,8,14,367
2,8,15,243
2,8,16,341
2,8,17,578
2,8,18,965
2,8,19,1047
2,8,20,964
2,8,21,685
2,8,22,314
2,8,23,285
2,9,7,638
